id,created_at,text
1347111324837441536,2021-01-07 09:22:22,We finished our work and we overcame every objection and announced the last few states and signed all the reports a… https://t.co/IeGMqW5Riy
1347066748613390336,2021-01-07 06:25:14,Still at senate waiting for house republicans to be done debating ridiculous objection to PA election. After all th… https://t.co/ivDtX6KeXR
1346925494902677505,2021-01-06 21:03:57,Thanks to all who are putting themselves on the line to protect our democracy. I’m committed to finishing the job w… https://t.co/27cvupOS9p
1346873936424947715,2021-01-06 17:39:04,"Heading to the floor to uphold our democracy, respect the will of the people, and count 306 Electoral College votes… https://t.co/tIvzlfZdZa"
1346852658070609923,2021-01-06 16:14:31,Today’s vote won’t be a partisan fight. It will be a fight between those who are standing up for democracy and thos… https://t.co/ca20jm4ney
1346817514806923264,2021-01-06 13:54:52,"As I told @maddow, democracy will prevail today. https://t.co/bkfgAkANmY"
1346751223605637121,2021-01-06 09:31:27,"“We were told that we couldn’t win this election. But tonight, we proved that with hope, hard work &amp; the people by… https://t.co/GLUsDnCA3j"
1346683686603943939,2021-01-06 05:03:05,Georgia you are delivering our democracy tonight. 💜 ♥️
1346653036517728259,2021-01-06 03:01:18,All eyes on Georgia w/our exciting senate race. Proud of Jon Ossoff &amp; Raphael Warnock. Spoke w/ @maddow &amp;… https://t.co/S328ea4SFN
1346612487379161088,2021-01-06 00:20:10,"Happy birthday to my mentor Vice President Walter Mondale, a statesman and a great Minnesotan! I’m proud to call yo… https://t.co/QbruRGJ5r1"
1346576474468458496,2021-01-05 21:57:04,"This is it! 

Georgia -- go vote!
https://t.co/2cscH7MjVC"
1346504068634652672,2021-01-05 17:09:21,Stop it. The VP is not the decider here. He is the presider. Congress will uphold the will of the people by a stron… https://t.co/JQRbUOAKMp
1346434471294365698,2021-01-05 12:32:48,"This effort to overturn the state-certified election results &amp; subvert the will of the people is soul crushing.

As… https://t.co/l4HibY11NH"
1346226220208431109,2021-01-04 22:45:17,"At 12:01 pm on January 20th, Donald Trump will no longer be president and he cannot change that."
1346194928855101443,2021-01-04 20:40:56,"Carter, Cheney, Cohen, Esper, Gates, Hagel, Mattis, Panetta, Perry, Rumsfeld. Secretaries of Defense who served lea… https://t.co/M7MWcj4b66"
1346170642270461952,2021-01-04 19:04:26,"One more day, Georgia! Send @Ossoff and @ReverendWarnock to the Senate and let’s start this year off right!"
1345940499794944006,2021-01-04 03:49:56,The objections from some Republican Senators to the Electoral College results are undemocratic and un-American. The… https://t.co/m2IEJQO5fl
1345898821100982272,2021-01-04 01:04:19,The pandemic is real. It needs to be taken seriously. https://t.co/EikhMjhFNM
1345854084218294273,2021-01-03 22:06:33,"As I told @CapehartJ this morning,  the election is over, @JoeBiden won, and democracy will prevail. https://t.co/uRtIxAKy1W"
1345807311110070272,2021-01-03 19:00:41,"The truth’s on tape. For those who’ve joined the effort to subvert the election, you still have a choice: you can e… https://t.co/yx7zV9DYM3"
1345794607041433601,2021-01-03 18:10:12,Congratulations to my friend @TinaSmithMN on her swearing-in to the 117th Congress! Tina is so respected at home an… https://t.co/lXEuAhkBhx
1345766799544102915,2021-01-03 16:19:42,"This. 

We need to put country over party.That’s what we were elected to do. 
https://t.co/XwzoxPEqpm"
1345636898790895617,2021-01-03 07:43:32,A group of my Republican colleagues claiming that they want an additional federal “commission” to supersede electio… https://t.co/WgM9jWtMMZ
1345595449810563072,2021-01-03 04:58:49,"My Weekend: 

SATURDAY: Certain Republicans senators claim that they MUST have an “emergency” federal audit before… https://t.co/EXs6V9W8ns"
1345496997575487496,2021-01-02 22:27:37,Joe Biden and Kamala Harris will be inaugurated on January 20th and no publicity stunt will change that.
1345433207836172290,2021-01-02 18:14:08,With all due respect to my Republican colleagues in the Senate who are doing this: can you please get a grip? Elect… https://t.co/z0AKYhlU4h
1345389673791815680,2021-01-02 15:21:09,"Historic. 
https://t.co/Imh5F5HDle"
1345176856589430786,2021-01-02 01:15:29,I’m proud of the bipartisan support and the grassroots effort to pass the Save Our Stages Act. These venues are vit… https://t.co/daCIg0Vc8N
1345094218616872960,2021-01-01 19:47:07,Congress overrides a Trump veto for the first time with Senate vote on defense bill https://t.co/veXZqTWzg3
1345092986892406787,2021-01-01 19:42:13,This is the month Joe Biden becomes president
1345064335090065408,2021-01-01 17:48:22,A New Year’s resolution we can check off our list in just five days:: turn the Senate blue! #WarnockForGeorgia… https://t.co/PH4CVwal22
1344835395352190977,2021-01-01 02:38:38,"Goodbye 2020. New year, new president!"
1344804591955808257,2021-01-01 00:36:14,".@BenSasse is right. This is  “playing with fire.” It has to stop. 
https://t.co/oNr7bfbDh3"
1344751867591598080,2020-12-31 21:06:44,Joe Biden’s inauguration will include a national memorial service for those we have lost to COVID-19. For those gri… https://t.co/uVt2CDmZLn
1344724083670450176,2020-12-31 19:16:19,"As I told @donlemon, it’s not up for debate: Joe Biden won the election and democracy will prevail. https://t.co/OesEbqXIZk"
1344684017468264448,2020-12-31 16:37:07,"The Trump Administration needs to stop obstructing the transition of power 
https://t.co/GlDy49ZdrY"
1344646690482089987,2020-12-31 14:08:47,"We miss you, Sid.
https://t.co/hqXSYSiKA6"
1344469205861613568,2020-12-31 02:23:32,"Please, wear a mask."
1344411765703106562,2020-12-30 22:35:17,"HBCUs are vital to the growth of this nation, both economically and culturally. I’m urging my colleagues to act to… https://t.co/ckyPPxBMto"
1344335956409774086,2020-12-30 17:34:03,"This is how you run for President on the Republican side in 2024. You join a coup attempt. 

Democracy will prevail… https://t.co/iASIDlknvU"
1344328730093760512,2020-12-30 17:05:20,We need to get vaccine distribution right. That’s why the relief package was so important and that’s why we need… https://t.co/Md9oK1OUEJ
1344324428184883200,2020-12-30 16:48:14,President vetoing Defense bill was a bad thing. Our troops deserve better &amp; I’ll vote to override his veto. Also Am… https://t.co/WfqA0zdsbk
1344130216671784960,2020-12-30 03:56:31,"We have a monopoly problem in this country, harming consumers. I worked to increase funding for antitrust enforceme… https://t.co/gyPHxZEbOU"
1344050879482245126,2020-12-29 22:41:15,The right to vote is the cornerstone of our democracy. That’s why I’ve introduced the Save Voters Act to permanentl… https://t.co/c1HV8jMFsQ
1344019747382374412,2020-12-29 20:37:33,"Because of the Save Our Stages Act, countless future bands will have independent venues to get their start, so they… https://t.co/S2jGFFcIRd"
1343762260301410304,2020-12-29 03:34:23,From scams soliciting donations for fake charities to phone calls falsely offering immediate vaccinations to protec… https://t.co/iB73zJIAjU
1343733406086160384,2020-12-29 01:39:44,"As I told @jaketapper, Donald Trump will not overturn the results of this election. 

On January 6, the Congress wi… https://t.co/gnUXMZn8Nk"
1343694754668810250,2020-12-28 23:06:08,This is a sad story but also a tribute to true love and lives well lived. So much sorrow for so many families this… https://t.co/WaEMa2ucG7
1343666034008535044,2020-12-28 21:12:01,Be responsible and safe. Keep your face warm. Wear a mask.
1343643120710332419,2020-12-28 19:40:58,Health care workers have saved so many lives during this very difficult and dark year. Our country thanks you -- you are truly heroes.
1343623154548224001,2020-12-28 18:21:38,"Buddy and his dad Ky have made more than 50,000 masks, many for health care workers, senior homes and homeless shel… https://t.co/lIRRobDWFX"
1343579888717094916,2020-12-28 15:29:42,Donald Trump will leave the White House in 23 days.
1343575801225240577,2020-12-28 15:13:28,"This is heart wrenching. Every American has been touched by the devastation of this pandemic. 
https://t.co/pGpb6Fec4g"
1343365341091672064,2020-12-28 01:17:10,"Breaking: Trump (FINALLY and after a number of rounds of golf) signs stimulus and government spending bill into law, averting shutdown"
1343356467563401216,2020-12-28 00:41:54,The latest:  https://t.co/CKAVFTMZe5
1343351918173827072,2020-12-28 00:23:50,A beautiful winter walk tonight with snow falling on Our Lady of Lourdes church in N.E. Mpls. https://t.co/8SQ8XfVa9l
1343318094597468162,2020-12-27 22:09:26,"The Chaffee family answered the call of duty.

Thank you for all you have done for our country.
https://t.co/2S9ae5qGEQ"
1343269621617602561,2020-12-27 18:56:49,"People have lost their unemployment. We need funding to distribute the vaccine. 

Could someone hide the golf clubs?"
1343224754438873089,2020-12-27 15:58:32,Black and brown communities have been hit disproportionately by the pandemic. I’m proud of the Mayo Clinic for thei… https://t.co/CrF1RaoMQl
1343059862557777920,2020-12-27 05:03:18,"Even during these hard times, Minnesotans are helping their neighbors. 
https://t.co/qSbCfSuXSt"
1343004263291744257,2020-12-27 01:22:22,"Unemployment help lapses for millions of people who are out of work, and the President golfs. States need help dist… https://t.co/e9tNJfdBa9"
1342998641305333761,2020-12-27 01:00:02,Happy Kwanzaa!
1342630196621533188,2020-12-26 00:35:58,"Your book made a great gift for my husband John! Thanks, Obama! https://t.co/Zqi4WQaPjR"
1342496290165424128,2020-12-25 15:43:52,Just another reason to thank a health care worker today (as if you didn’t have enough). Merry Christmas!  https://t.co/FLSIcsyKzj
1342490813377474563,2020-12-25 15:22:06,"John, Abigail and I wish you all a merry--and safe--Christmas! https://t.co/fPoOxVVv2f"
1342265387128397826,2020-12-25 00:26:21,"Santa always finds a way!
https://t.co/sQSMrY8Eho"
1342202737098960898,2020-12-24 20:17:24,"This Christmas Eve I’m remembering past holidays fondly, especially being with my whole family. While this year may… https://t.co/M6kD66Ibwk"
1342170846169866240,2020-12-24 18:10:40,"John and Abigail went all out for this gingerbread house, including home-baked gingerbread and melted Jolly Rancher… https://t.co/t42daXrIco"
1341953533424394242,2020-12-24 03:47:09,"The President is not draining the swamp, he’s pardoning it."
1341809328043544579,2020-12-23 18:14:08,Dr. Fauci will soon work for a President who believes him rather than seethes at him.
1341786966023659520,2020-12-23 16:45:16,"As I said to @HallieJackson, Democrats have been pushing for more direct payments to the American people from the b… https://t.co/xPm1Yak74x"
1341642326427447296,2020-12-23 07:10:31,"Good to be on @Maddow to make case against Trump’s pardons&amp;his threat to veto pandemic relief, with $ for vaccines,… https://t.co/DLAcxFx5X5"
1341577128844914690,2020-12-23 02:51:27,The power of the pardon is about forgiveness and justice. What the President did tonight is neither. It is corrupti… https://t.co/yfQQNvayOq
1341501616168513537,2020-12-22 21:51:23,"“Come Senators, Congressmen, please heed the call, don't stand in the doorway, don't block up the hall.” I’m thrill… https://t.co/hOm2ZM2RWh"
1341472217285189632,2020-12-22 19:54:34,Look forward to working with my friend @AlexPadilla4CA in the U.S. Senate! I got to work with Alex on election issu… https://t.co/gsZNEFmLEr
1341425883819720708,2020-12-22 16:50:27,I’m ready for a President who believes in science.
1341388200661708800,2020-12-22 14:20:43,"From ag to broadband to childcare, ten of the bipartisan bills I led were included in the relief package that passe… https://t.co/dNRIvXWAxE"
1341205696445034503,2020-12-22 02:15:31,"If Jupiter and Saturn can come closer together than they have in centuries, the Senate can pass a bipartisan pandem… https://t.co/973IF2xKLS"
1341180843302277120,2020-12-22 00:36:45,We might not name an airport after you but I know I can find some friends to chip in for a plane ticket on January… https://t.co/TMeYTfM70N
1341178918074769408,2020-12-22 00:29:06,"22nd day in a row since Thanksgiving when I go to work thinking the Senate could actually pass pandemic relief. 

I… https://t.co/huOtxfoysN"
1341152904363819009,2020-12-21 22:45:44,"The vaccine is safe and effective and it will save many, many lives."
1341066648887947264,2020-12-21 17:02:59,Americans need relief now and have needed relief for months. While we have a bipartisan  package that will finally… https://t.co/EpnW8W9AED
1341027799457550344,2020-12-21 14:28:37,We did it! The relief package includes my bill with @JohnCornyn w/all the funding we requested to #SaveOurStages. T… https://t.co/NZTMmtsIIY
1340860396173991936,2020-12-21 03:23:25,"Correction.  

Tomorrow. https://t.co/vvyoEUr2Np"
1340840164919300096,2020-12-21 02:03:01,"Just reminding everyone of this statement from Army Sec Ryan McCarthy &amp; Chief of Staff Gen James McConville: ""There… https://t.co/iee8Q2mI87"
1340816157880832000,2020-12-21 00:27:37,...and until you make history! https://t.co/xEYL9C7PNA
1340736093604503554,2020-12-20 19:09:29,"Remote learning has been hard for students with special education needs, but our teachers and parents have stepped… https://t.co/B6UaIdyd13"
1340704859226578947,2020-12-20 17:05:22,"We need more public officials to put democracy over partisanship. 
https://t.co/FjJGdZcBTD"
1340649558670528514,2020-12-20 13:25:37,"21st day in a row since Thanksgiving when I go to work thinking the Senate could actually pass pandemic relief. 

F… https://t.co/cVwl8T0Y93"
1340494007164661760,2020-12-20 03:07:31,"Americans voted for decency, dignity and a heart for our country. That’s what Joe Biden is bringing to the White House."
1340440250871656449,2020-12-19 23:33:54,"Secretary Pompeo says it was “pretty clearly” Russia behind the cyberattack.

Why won’t the President say anything?
https://t.co/ABqdRgyy0k"
1340344615988293634,2020-12-19 17:13:53,"Today, the @Gophers are taking on the Wisconsin Badgers in the Battle for Paul Bunyan’s Axe!

Good luck out there G… https://t.co/sexQLt64Qr"
1340320157017792513,2020-12-19 15:36:42,Google dominates online search &amp; ad technology markets by undermining rivals and limiting competition. It’s good th… https://t.co/MRAYY8EMS0
1340009833823694848,2020-12-18 19:03:35,"President-elect @JoeBiden: ""Our adversaries should know that, as President, I will not stand idly by in the face of… https://t.co/nE9tlTOxEg"
1339980977628729344,2020-12-18 17:08:55,Fellow Minnesotan @DenisMcDonough was an excellent Chief of Staff to President Obama and will be a great Secretary… https://t.co/hdjjvgTcT2
1339936445608374273,2020-12-18 14:11:58,20.6 million Americans are on unemployment aid as we head into the holiday season. We don’t need any more proof tha… https://t.co/HioajALqhe
1339786124080918530,2020-12-18 04:14:38,"A champion of the environment and indigenous rights, @RepDebHaaland is going to make history as the first Native Am… https://t.co/JMuHg3FC8c"
1339777283696046082,2020-12-18 03:39:30,"RT @HillaryClinton: Now 34.

But who's counting."
1339709569883394049,2020-12-17 23:10:26,I've introduced the New Business Preservation Act to put capital in areas that need it so startups can thrive not j… https://t.co/BAUEdGZjT7
1339654508801089536,2020-12-17 19:31:39,"Even before the pandemic, so many Americans were facing serious financial hardship. People deserve a livable wage,… https://t.co/wFDa4n5DOB"
1339635653362020352,2020-12-17 18:16:43,"RT @Transition46: Our administration will work to invest in America's infrastructure to create millions of good, union jobs to rebuild this…"
1339616724518395905,2020-12-17 17:01:30,The courts simply can't be blinded by Google's success or its past innovations if the company crosses a line into a… https://t.co/AUKTjwDuey
1339592959285547008,2020-12-17 15:27:04,One thing this election made clear: we must pass the John Lewis Voting Rights Advancement Act and protect our democracy.
1339392012701855752,2020-12-17 02:08:35,"Don Fowler was a dedicated South Carolinian, Democrat and American. He will be sorely missed. https://t.co/5262WfbBOX"
1339367631208497158,2020-12-17 00:31:42,"The show must go on!

I’m urging my colleagues to pass my bipartisan Save Our Stages Act to protect our local music… https://t.co/7Xz2LmRRbN"
1339334516482174976,2020-12-16 22:20:07,As we work to finish the pandemic relief package retiring Tennessee senator (and excellent musician) ⁦… https://t.co/J7T05WXtiU
1339258178169659395,2020-12-16 17:16:46,"The United States will be in good hands with @JenGranholm leading the Department of Energy. 
https://t.co/SKU12nwt93"
1339232175590432769,2020-12-16 15:33:27,Joe Biden and Kamala Harris will be inaugurated as the next President and Vice President of the United States in 35 days.
1338984703920136192,2020-12-15 23:10:05,"This month, 20 million people could be vaccinated against COVID. With the whirlwind rate that these vaccines are be… https://t.co/bUCJknv4gx"
1338957366566522882,2020-12-15 21:21:27,"Congratulations @PeteButtigieg! From roads to rail, there is so much to be done and I’m looking forward to working… https://t.co/cmNdPAs1Ga"
1338934260481355778,2020-12-15 19:49:38,"If Vladimir Putin has accepted the election results but you haven’t, you might have a problem."
1338910798677237763,2020-12-15 18:16:24,The vaccine will save lives. So will a mask. Wear one.
1338868794672906240,2020-12-15 15:29:30,Thanks Wendy. At hearing now &amp; wearing my #SaveOurStages mask! @JohnCornyn &amp; I have been working hard all week to m… https://t.co/vahhPJAwTz
1338863231197016068,2020-12-15 15:07:23,I’m looking towards the light at the end of the tunnel: inauguration day. https://t.co/nZeH2AkIi6
1338647272284938240,2020-12-15 00:49:15,"8 years ago, 20 children and 6 adults were killed at Sandy Hook Elementary. It’s an injustice to those who lost the… https://t.co/fDg6pfTTSb"
1338612046896771072,2020-12-14 22:29:16,Say it with me: President-elect Joe Biden.
1338594181116268547,2020-12-14 21:18:17,"Early voting begins in Georgia today! 

Please go to https://t.co/UhHlRooBej, make a plan and cast your ballots for… https://t.co/HAgP6G2t1T"
1338544188351279106,2020-12-14 17:59:38,"I don’t want to spoil the ending for everyone, but today  members of the Electoral College will cast their votes an… https://t.co/aJ8AVb2ONo"
1338285717789798401,2020-12-14 00:52:33,"Surprise medical bills can be devastating to families, even when they’re insured. I’m urging my colleagues in the S… https://t.co/ZQVSMDRV2k"
1338172917998358530,2020-12-13 17:24:20,"Electoral college votes tomorrow &amp; GOP leaders must finally decide if they side with democracy or tyranny.

“A repu… https://t.co/2vCW57gVoM"
1338137794531782657,2020-12-13 15:04:46,Amazon Halo is the latest example of why we need health tracker privacy protections in law.  @lisamurkowski and I h… https://t.co/DhYPxbY18p
1338125167856398337,2020-12-13 14:14:35,"Our nurses are tough. Our doctors are tough. Our lab workers are tough.

You're not tough if you refuse to wear a p… https://t.co/k4UyQUj8z3"
