id,created_at,text
1346912780700577792,2021-01-06 20:13:26,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; O… https://t.co/XWZnbZWwze"
1346904110969315332,2021-01-06 19:38:58,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!
1346891760174329859,2021-01-06 18:49:54,https://t.co/izItBeFE6G
1346845109736845318,2021-01-06 15:44:31,These scoundrels are only toying with the @sendavidperdue (a great guy) vote. Just didn’t want to announce quite ye… https://t.co/PWkWMR8npN
1346822958006886400,2021-01-06 14:16:30,Even Mexico uses Voter I.D.
1346822610957561858,2021-01-06 14:15:07,The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!
1346818855298072576,2021-01-06 14:00:12,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is… https://t.co/cLaYvIvzab"
1346809349214248962,2021-01-06 13:22:26,"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!"
1346808075626426371,2021-01-06 13:17:22,"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt proces… https://t.co/i1ZARUmtHr"
1346805405998075905,2021-01-06 13:06:45,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!
1346698217304584192,2021-01-06 06:00:50,"If Vice President @Mike_Pence comes through for us, we will win the Presidency. Many States want to decertify the m… https://t.co/9snX9u3SrA"
1346694740968878080,2021-01-06 05:47:01,RT @DanScavino: 🔊WOW! We hear you from the West Wing—THANK YOU❤️🇺🇸🦅 https://t.co/onytmaJUhp
1346694608877740032,2021-01-06 05:46:29,RT @christina_bobb: Pennsylvania is going to Trump.  The legislators have spoken.
1346693906990305280,2021-01-06 05:43:42,Get smart Republicans. FIGHT! https://t.co/3fs1oPVnAx
1346687404778921985,2021-01-06 05:17:52,RT @TomiLahren: I wonder when the water main is gonna burst in Georgia....
1346687368812785664,2021-01-06 05:17:43,RT @TomiLahren: Democrats scrounging up votes from mystical places again....
1346686979325521921,2021-01-06 05:16:10,RT @TomiLahren: The steal is in the making in Georgia. Wait for it.
1346686936568758275,2021-01-06 05:16:00,"RT @kayleighmcenany: Why are they stopping the vote count in Democrat Chatham county, Georgia?

This sounds familiar! 🤨"
1346685023861272580,2021-01-06 05:08:24,Just happened to have found another 4000 ballots from Fulton County. Here we go!
1346659909492998146,2021-01-06 03:28:36,Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?
1346652589673345024,2021-01-06 02:59:31,BIG NEWS IN PENNSYLVANIA! https://t.co/7JqTWYUgOr
1346649087857328128,2021-01-06 02:45:36,"RT @Jim_Jordan: For nine weeks, Democrats have been afraid to have a real debate on election integrity. 

Why? https://t.co/n3hcoOi4rS"
1346588064026685443,2021-01-05 22:43:07,I will be speaking at the SAVE AMERICA RALLY tomorrow on the Ellipse at 11AM Eastern. Arrive early — doors open at… https://t.co/0OjqxuqF3Q
1346583537256976385,2021-01-05 22:25:08,"Antifa is a Terrorist Organization, stay out of Washington. Law enforcement is watching you very closely!… https://t.co/v0zJSzt2BI"
1346580318745206785,2021-01-05 22:12:20,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are… https://t.co/qOXn3ASfvH"
